Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Boeing 777,2001,2,Turbofan,396,15600,7.18,2210.88,24,Asia,490824585.49
Airbus A320,2023,2,Turbofan,180,6300,11.34,4158.44,2,Australia,168615757.88
Bombardier CRJ200,2005,2,Turbofan,50,3000,14.05,1595.67,20,South America,15890609.46
Boeing 737,1996,2,Turbofan,162,5700,5.34,2686.42,29,South America,61678568.68
Boeing 737,2009,2,Turbofan,162,5700,5.99,1781.93,16,North America,93025912.8
Bombardier CRJ200,2023,2,Turbofan,50,3000,9.93,1900.88,2,North America,27511685.52
Cessna 172,2004,1,Piston,4,1285,20.9,3722.68,21,Australia,238954.83
Airbus A320,2010,2,Turbofan,180,6300,8.83,1316.47,15,Asia,108999753.4
Cessna 172,2015,1,Piston,4,1285,20.26,3052.9,10,North America,370499.11
Boeing 737,2020,2,Turbofan,162,5700,10.23,695.36,5,Africa,135579062.59
Bombardier CRJ200,1999,2,Turbofan,50,3000,9.82,4781.32,26,Australia,12619358.48
Airbus A320,2014,2,Turbofan,180,6300,7.51,4201.76,11,Europe,119856645.16
Airbus A350,2009,2,Turbofan,350,14800,7.87,3307.37,16,North America,551093634.72
Bombardier CRJ200,2014,2,Turbofan,50,3000,4.18,3139.74,11,Africa,21058068.36
Cessna 172,2006,1,Piston,4,1285,25.64,1543.76,19,North America,344441.57
Boeing 737,2003,2,Turbofan,162,5700,8.46,3175.14,22,Europe,70031553.95
Airbus A350,2008,2,Turbofan,350,14800,11.33,2426.9,17,Europe,606680932.49
Boeing 777,2014,2,Turbofan,396,15600,3.03,1733.72,11,Australia,758209266.07
Airbus A320,2021,2,Turbofan,180,6300,10.46,4460.36,4,Australia,127043941.37
Boeing 777,1995,2,Turbofan,396,15600,10.6,4973.63,30,Europe,349487795.61
Airbus A320,2018,2,Turbofan,180,6300,7.85,935.04,7,Asia,121109153.47
Cessna 172,1996,1,Piston,4,1285,19.39,4672.3,29,Europe,226718.77
Boeing 737,2022,2,Turbofan,162,5700,3.98,2296.92,3,Asia,139469698.9
Airbus A320,2017,2,Turbofan,180,6300,11.82,901.06,8,North America,139756826.67
Airbus A350,2013,2,Turbofan,350,14800,14.18,894.39,12,Asia,516404000.97
Airbus A350,2003,2,Turbofan,350,14800,8.7,3202.67,22,South America,350592997.15
Boeing 737,2022,2,Turbofan,162,5700,12.48,4406.26,3,South America,116071281.05
Boeing 777,2009,2,Turbofan,396,15600,7.24,864.14,16,Australia,629312398.7
Airbus A350,2007,2,Turbofan,350,14800,12.69,3384.37,18,Australia,505888699.2
Boeing 737,2011,2,Turbofan,162,5700,13.21,1096.36,14,Australia,96217375.0
Boeing 777,2018,2,Turbofan,396,15600,8.53,1286.77,7,Europe,639421066.39
Cessna 172,2020,1,Piston,4,1285,15.41,616.15,5,South America,404034.59
Cessna 172,2000,1,Piston,4,1285,27.3,4846.2,25,Africa,243022.69
Cessna 172,2013,1,Piston,4,1285,30.25,1903.17,12,North America,309804.27
Airbus A350,2012,2,Turbofan,350,14800,4.81,3383.72,13,South America,572444936.79
Boeing 737,2021,2,Turbofan,162,5700,14.93,761.74,4,Australia,140006077.57
Boeing 777,2009,2,Turbofan,396,15600,14.96,2792.4,16,Africa,597531776.7
Airbus A350,2000,2,Turbofan,350,14800,7.54,2871.69,25,Australia,347139378.76
Boeing 777,2003,2,Turbofan,396,15600,7.38,2154.92,22,Europe,466373471.0
Bombardier CRJ200,2010,2,Turbofan,50,3000,11.54,4223.92,15,Asia,16840718.26
Bombardier CRJ200,2003,2,Turbofan,50,3000,5.14,554.54,22,Europe,14755688.52
Cessna 172,2015,1,Piston,4,1285,31.92,993.81,10,North America,379815.98
Boeing 777,2022,2,Turbofan,396,15600,6.22,1175.22,3,Africa,706532681.33
Cessna 172,1999,1,Piston,4,1285,41.4,2567.51,26,North America,186388.14
Boeing 737,2016,2,Turbofan,162,5700,14.42,4514.38,9,South America,101847749.42
Boeing 777,2015,2,Turbofan,396,15600,13.64,3467.09,10,North America,627477879.23
Boeing 737,1997,2,Turbofan,162,5700,9.98,3365.01,28,South America,63662822.45
Airbus A320,2007,2,Turbofan,180,6300,11.59,1175.76,18,South America,98541524.8
Cessna 172,2019,1,Piston,4,1285,37.21,2805.0,6,Australia,378845.75
Bombardier CRJ200,2015,2,Turbofan,50,3000,2.16,820.66,10,Asia,20660642.47
Cessna 172,2022,1,Piston,4,1285,39.5,4804.26,3,Australia,362429.72
Boeing 777,1999,2,Turbofan,396,15600,4.41,3476.17,26,North America,462511005.46
Airbus A320,2016,2,Turbofan,180,6300,14.58,869.77,9,Australia,148205458.65
Bombardier CRJ200,2020,2,Turbofan,50,3000,3.58,1425.59,5,Asia,25716133.52
Boeing 737,2013,2,Turbofan,162,5700,8.89,3397.57,12,Europe,107183272.55
Airbus A350,2006,2,Turbofan,350,14800,14.59,688.78,19,Africa,459831575.91
Boeing 777,2000,2,Turbofan,396,15600,11.72,3120.9,25,South America,452501012.06
Boeing 737,2023,2,Turbofan,162,5700,9.97,2477.32,2,Asia,101962560.32
Boeing 777,2008,2,Turbofan,396,15600,5.13,4743.84,17,Australia,544297853.03
Airbus A350,2011,2,Turbofan,350,14800,10.4,4491.16,14,South America,550255631.84
Airbus A350,2006,2,Turbofan,350,14800,12.61,1786.58,19,North America,483244453.36
Airbus A320,2012,2,Turbofan,180,6300,7.99,3897.69,13,Asia,125697266.0
Boeing 777,2007,2,Turbofan,396,15600,11.47,4288.99,18,Asia,576552533.65
Boeing 777,2023,2,Turbofan,396,15600,9.09,1298.43,2,Australia,888471735.01
Cessna 172,2011,1,Piston,4,1285,47.5,4931.01,14,South America,337809.04
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.78,4180.03,26,Asia,11740026.01
Airbus A320,2005,2,Turbofan,180,6300,12.93,2776.34,20,South America,103399541.42
Boeing 777,1998,2,Turbofan,396,15600,11.89,3363.31,27,North America,412734925.56
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.65,4100.32,18,Europe,15025275.31
Airbus A320,2004,2,Turbofan,180,6300,11.53,2997.88,21,South America,85547362.76
Cessna 172,2022,1,Piston,4,1285,10.21,2994.02,3,North America,385978.91
Boeing 737,2005,2,Turbofan,162,5700,6.78,4811.33,20,Australia,86494329.35
Boeing 737,2007,2,Turbofan,162,5700,3.94,1971.19,18,Asia,92539754.63
Cessna 172,2007,1,Piston,4,1285,38.88,2518.75,18,South America,297164.0
Airbus A350,2020,2,Turbofan,350,14800,7.36,2261.87,5,Africa,765232183.44
Boeing 737,2000,2,Turbofan,162,5700,3.21,4073.89,25,Europe,77189812.92
Cessna 172,2009,1,Piston,4,1285,29.24,3146.91,16,Australia,290366.42
Boeing 737,1995,2,Turbofan,162,5700,9.85,3022.97,30,Africa,69958397.63
Cessna 172,2005,1,Piston,4,1285,43.0,1714.19,20,South America,289745.64
Boeing 737,2005,2,Turbofan,162,5700,3.0,2742.15,20,North America,79846064.72
Bombardier CRJ200,2001,2,Turbofan,50,3000,11.2,4032.04,24,Europe,12911054.39
Cessna 172,2020,1,Piston,4,1285,27.36,1976.87,5,Asia,393978.2
Cessna 172,2012,1,Piston,4,1285,18.82,898.7,13,Europe,383828.69
Boeing 777,2002,2,Turbofan,396,15600,14.13,4992.56,23,Australia,490286367.25
Airbus A320,2021,2,Turbofan,180,6300,6.71,1330.14,4,Asia,173671367.93
Airbus A320,2020,2,Turbofan,180,6300,2.34,2005.3,5,Africa,149393911.62
Airbus A350,2016,2,Turbofan,350,14800,14.23,1844.27,9,South America,527136285.33
Airbus A350,2023,2,Turbofan,350,14800,7.59,1666.84,2,South America,782877358.82
Bombardier CRJ200,2020,2,Turbofan,50,3000,8.28,2561.84,5,South America,21491715.82
Boeing 777,2020,2,Turbofan,396,15600,3.05,1100.66,5,North America,745395297.18
Airbus A320,2008,2,Turbofan,180,6300,11.48,2465.83,17,Asia,129147709.81
Airbus A350,2008,2,Turbofan,350,14800,4.07,3944.81,17,Australia,469202947.87
Boeing 777,1997,2,Turbofan,396,15600,10.54,3881.19,28,South America,409579466.5
Boeing 737,2002,2,Turbofan,162,5700,2.9,4804.77,23,South America,72876013.98
Boeing 737,1999,2,Turbofan,162,5700,5.21,1677.68,26,Africa,64653905.66
Boeing 777,1998,2,Turbofan,396,15600,12.1,2523.83,27,Asia,365647947.02
Cessna 172,2012,1,Piston,4,1285,45.99,2063.04,13,Africa,362845.98
Airbus A350,2017,2,Turbofan,350,14800,10.63,598.21,8,South America,659666787.89
Cessna 172,2021,1,Piston,4,1285,20.41,2384.57,4,Europe,442895.9
Boeing 777,2018,2,Turbofan,396,15600,9.35,1391.44,7,Africa,625882789.39
Airbus A320,2008,2,Turbofan,180,6300,11.4,4370.63,17,Africa,111640845.43
Cessna 172,2013,1,Piston,4,1285,13.27,2945.92,12,South America,329372.74
Airbus A320,2003,2,Turbofan,180,6300,8.3,2562.35,22,North America,98138123.68
Boeing 777,2004,2,Turbofan,396,15600,7.35,2580.33,21,Africa,537564197.02
Boeing 777,2023,2,Turbofan,396,15600,9.09,3429.38,2,South America,796815035.79
Boeing 737,2020,2,Turbofan,162,5700,7.97,4128.82,5,Australia,110618896.11
Boeing 737,2015,2,Turbofan,162,5700,6.29,1241.18,10,Australia,98091965.17
Airbus A350,1998,2,Turbofan,350,14800,8.75,3905.38,27,North America,384345274.42
Bombardier CRJ200,2022,2,Turbofan,50,3000,13.32,4458.12,3,South America,23069754.97
Airbus A320,2001,2,Turbofan,180,6300,7.87,1574.58,24,Asia,95514690.07
Cessna 172,2022,1,Piston,4,1285,29.91,2924.16,3,Europe,415594.5
Boeing 777,1999,2,Turbofan,396,15600,10.54,974.63,26,Australia,395854826.2
Bombardier CRJ200,2022,2,Turbofan,50,3000,14.54,3990.25,3,Africa,26385026.46
Airbus A320,2018,2,Turbofan,180,6300,8.8,1416.95,7,Australia,154015210.92
Boeing 737,1999,2,Turbofan,162,5700,10.25,3099.17,26,South America,61588489.05
Airbus A350,2021,2,Turbofan,350,14800,7.15,4090.61,4,North America,719698315.43
Airbus A320,2022,2,Turbofan,180,6300,11.05,1210.8,3,Australia,166684783.73
Bombardier CRJ200,2023,2,Turbofan,50,3000,6.12,4069.68,2,South America,23341517.57
Boeing 737,2021,2,Turbofan,162,5700,13.62,1329.01,4,Australia,116924511.27
Airbus A350,2012,2,Turbofan,350,14800,3.98,3444.32,13,North America,700608021.22
Boeing 737,2003,2,Turbofan,162,5700,13.47,875.59,22,North America,68022228.58
Cessna 172,2013,1,Piston,4,1285,31.1,3018.9,12,Asia,361741.19
Bombardier CRJ200,2001,2,Turbofan,50,3000,11.51,857.33,24,South America,13964606.94
Airbus A320,2018,2,Turbofan,180,6300,13.16,1343.35,7,Africa,143425664.15
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.68,2620.26,6,Europe,17503662.79
Bombardier CRJ200,2008,2,Turbofan,50,3000,12.77,2723.96,17,Asia,15877476.93
Airbus A350,2003,2,Turbofan,350,14800,4.26,2008.44,22,Australia,484337004.73
Bombardier CRJ200,1995,2,Turbofan,50,3000,5.12,952.87,30,Africa,12735180.78
Cessna 172,1998,1,Piston,4,1285,23.92,1138.87,27,Australia,248222.2
Airbus A320,1999,2,Turbofan,180,6300,12.94,2085.69,26,Africa,84785493.84
Airbus A320,2003,2,Turbofan,180,6300,3.64,3353.64,22,Australia,93805501.41
Cessna 172,2008,1,Piston,4,1285,23.0,3542.8,17,Africa,285281.45
Boeing 777,2004,2,Turbofan,396,15600,13.12,1286.97,21,South America,502917366.9
Cessna 172,2006,1,Piston,4,1285,43.48,1522.31,19,Europe,306663.91
Airbus A320,2018,2,Turbofan,180,6300,8.66,3623.68,7,Europe,122064549.87
Airbus A350,2003,2,Turbofan,350,14800,11.96,4420.42,22,South America,454803151.26
Boeing 737,2013,2,Turbofan,162,5700,10.64,4048.01,12,Asia,105696676.68
Boeing 777,2008,2,Turbofan,396,15600,7.81,999.45,17,South America,618234682.54
Airbus A320,2007,2,Turbofan,180,6300,6.95,2959.92,18,Asia,105287844.83
Airbus A320,2008,2,Turbofan,180,6300,3.44,4895.6,17,North America,103832361.96
Boeing 737,2006,2,Turbofan,162,5700,13.93,3829.57,19,Asia,83008468.33
Airbus A350,2012,2,Turbofan,350,14800,13.16,1760.17,13,North America,610615629.77
Airbus A320,2004,2,Turbofan,180,6300,12.46,3892.83,21,Asia,94645505.01
Bombardier CRJ200,2001,2,Turbofan,50,3000,3.46,4427.39,24,Europe,14020719.36
Airbus A350,2008,2,Turbofan,350,14800,5.9,1837.57,17,South America,436994024.79
Cessna 172,2018,1,Piston,4,1285,19.58,855.36,7,South America,387357.16
Airbus A320,1999,2,Turbofan,180,6300,3.49,3195.4,26,Asia,89442684.78
Boeing 737,1995,2,Turbofan,162,5700,9.43,4455.41,30,Africa,66639654.82
Bombardier CRJ200,2019,2,Turbofan,50,3000,7.6,2828.51,6,Africa,20764774.65
Cessna 172,2014,1,Piston,4,1285,27.74,4516.35,11,Asia,406975.86
Bombardier CRJ200,2012,2,Turbofan,50,3000,11.13,3162.64,13,South America,21313904.36
Boeing 777,1995,2,Turbofan,396,15600,9.81,4777.39,30,South America,399314349.55
Cessna 172,2012,1,Piston,4,1285,23.25,4871.9,13,South America,286491.19
Airbus A350,2003,2,Turbofan,350,14800,9.44,4111.64,22,North America,413174971.15
Boeing 737,2002,2,Turbofan,162,5700,10.02,891.92,23,Europe,78555235.57
Bombardier CRJ200,2022,2,Turbofan,50,3000,6.49,1012.27,3,Australia,26213586.09
Boeing 737,2017,2,Turbofan,162,5700,11.13,2720.96,8,Australia,111927143.92
Boeing 777,2014,2,Turbofan,396,15600,7.34,2398.23,11,North America,553333412.21
Airbus A350,2010,2,Turbofan,350,14800,14.42,4207.06,15,Australia,600347574.8
Bombardier CRJ200,2009,2,Turbofan,50,3000,2.77,1659.23,16,Asia,17643243.69
Boeing 777,2012,2,Turbofan,396,15600,7.45,1044.61,13,Africa,612085149.0
Cessna 172,2010,1,Piston,4,1285,24.19,860.81,15,North America,318708.73
Boeing 737,2021,2,Turbofan,162,5700,10.69,4737.77,4,Europe,108556958.29
Boeing 777,2002,2,Turbofan,396,15600,2.13,3171.47,23,Asia,526265044.42
Bombardier CRJ200,2001,2,Turbofan,50,3000,13.87,3362.43,24,North America,14813021.98
Boeing 737,2003,2,Turbofan,162,5700,3.57,3757.88,22,Africa,78338168.47
Airbus A350,2008,2,Turbofan,350,14800,2.86,4561.04,17,Africa,461627160.61
Bombardier CRJ200,2011,2,Turbofan,50,3000,8.32,1827.68,14,North America,17346870.3
Cessna 172,1997,1,Piston,4,1285,32.35,1053.51,28,Asia,215685.51
Bombardier CRJ200,2007,2,Turbofan,50,3000,11.48,2044.25,18,Asia,18014042.61
Airbus A350,2018,2,Turbofan,350,14800,7.59,3616.22,7,Europe,698798971.73
Cessna 172,1998,1,Piston,4,1285,21.02,3528.35,27,North America,235083.98
Bombardier CRJ200,1998,2,Turbofan,50,3000,13.15,4200.9,27,North America,11912822.19
Airbus A350,2018,2,Turbofan,350,14800,9.57,1934.9,7,Australia,724507613.72
Airbus A350,2002,2,Turbofan,350,14800,4.17,2185.49,23,Africa,480548085.92
Boeing 737,2002,2,Turbofan,162,5700,3.85,2437.38,23,South America,71345739.57
Airbus A350,1997,2,Turbofan,350,14800,2.33,1195.07,28,Australia,401344548.06
Bombardier CRJ200,2005,2,Turbofan,50,3000,6.05,2343.33,20,North America,15132626.67
Cessna 172,2023,1,Piston,4,1285,34.23,3547.04,2,Europe,374646.38
Bombardier CRJ200,2008,2,Turbofan,50,3000,3.83,3597.23,17,Asia,16103974.58
Bombardier CRJ200,2003,2,Turbofan,50,3000,2.51,2228.93,22,North America,14361962.07
Airbus A350,2016,2,Turbofan,350,14800,2.3,1220.11,9,Asia,616689451.6
Airbus A350,2003,2,Turbofan,350,14800,14.43,1022.63,22,North America,433578336.26
Airbus A320,2013,2,Turbofan,180,6300,5.75,4928.06,12,North America,130011836.22
Airbus A350,2000,2,Turbofan,350,14800,7.06,4825.11,25,Australia,338936604.03
Boeing 777,1995,2,Turbofan,396,15600,4.0,2936.33,30,Asia,352782688.83
Cessna 172,2004,1,Piston,4,1285,22.09,2481.99,21,South America,278261.6
Boeing 737,1996,2,Turbofan,162,5700,4.53,1667.01,29,North America,62392688.95
Bombardier CRJ200,2008,2,Turbofan,50,3000,14.56,1716.11,17,Europe,16106930.88
Cessna 172,1998,1,Piston,4,1285,23.89,3009.69,27,Australia,190776.73
Airbus A320,2008,2,Turbofan,180,6300,4.62,3292.97,17,Asia,131189277.96
Bombardier CRJ200,2000,2,Turbofan,50,3000,2.51,2278.12,25,Australia,16489488.16
Cessna 172,1998,1,Piston,4,1285,38.89,4592.55,27,North America,236904.81
Airbus A320,2020,2,Turbofan,180,6300,12.28,1087.94,5,Europe,148761870.12
Boeing 777,2012,2,Turbofan,396,15600,12.32,1061.69,13,Europe,658777555.68
Airbus A320,2011,2,Turbofan,180,6300,14.75,2582.04,14,Asia,132520706.73
Boeing 777,2015,2,Turbofan,396,15600,6.88,3149.29,10,South America,664502973.5
Boeing 777,2009,2,Turbofan,396,15600,4.64,1786.03,16,South America,538413768.89
Airbus A320,2019,2,Turbofan,180,6300,8.4,2800.74,6,Asia,164001157.25
Boeing 737,1999,2,Turbofan,162,5700,13.25,3097.76,26,Africa,65635823.95
Bombardier CRJ200,2010,2,Turbofan,50,3000,11.94,4223.84,15,South America,18381313.69
Airbus A350,2006,2,Turbofan,350,14800,14.43,3080.88,19,South America,481759429.8
Airbus A350,2023,2,Turbofan,350,14800,14.04,3319.67,2,South America,525681958.98
Bombardier CRJ200,2017,2,Turbofan,50,3000,3.75,3616.4,8,Europe,23265683.24
Airbus A320,2007,2,Turbofan,180,6300,6.66,1847.28,18,South America,99891783.16
Airbus A320,1999,2,Turbofan,180,6300,14.97,539.88,26,Europe,89262803.63
Airbus A320,2000,2,Turbofan,180,6300,2.19,1825.79,25,Australia,88971945.44
Airbus A320,2002,2,Turbofan,180,6300,12.84,3820.41,23,South America,85067609.0
Airbus A320,2020,2,Turbofan,180,6300,11.96,3463.43,5,South America,152495876.69
Boeing 777,2019,2,Turbofan,396,15600,7.3,849.42,6,South America,682156094.96
Boeing 737,2012,2,Turbofan,162,5700,3.44,2069.69,13,Australia,97566477.04
Airbus A320,2017,2,Turbofan,180,6300,14.32,4137.06,8,South America,111799291.14
Cessna 172,2018,1,Piston,4,1285,38.28,4075.32,7,North America,322825.72
Cessna 172,1996,1,Piston,4,1285,29.06,1946.73,29,Australia,209559.31
Airbus A320,2016,2,Turbofan,180,6300,10.33,1517.13,9,Africa,135588437.96
Cessna 172,2020,1,Piston,4,1285,35.91,2110.16,5,Asia,412902.49
Airbus A350,2020,2,Turbofan,350,14800,13.55,1053.14,5,South America,488602750.86
Boeing 777,2021,2,Turbofan,396,15600,10.12,3136.39,4,North America,777389385.42
Airbus A350,1995,2,Turbofan,350,14800,10.87,822.99,30,Australia,402367006.03
Airbus A350,1999,2,Turbofan,350,14800,12.45,4201.41,26,Africa,349512559.38
Airbus A350,2006,2,Turbofan,350,14800,8.46,1721.34,19,Africa,466444366.64
Bombardier CRJ200,2000,2,Turbofan,50,3000,8.64,500.61,25,Australia,12613392.5
Boeing 777,2005,2,Turbofan,396,15600,2.05,4277.02,20,Europe,516801131.04
Boeing 777,2012,2,Turbofan,396,15600,11.63,1610.71,13,South America,579407949.09
Boeing 737,2000,2,Turbofan,162,5700,5.52,2121.05,25,Europe,66454871.01
Airbus A350,1995,2,Turbofan,350,14800,13.83,2452.18,30,Europe,379524171.82
Airbus A350,2019,2,Turbofan,350,14800,7.04,2722.16,6,Africa,645139757.87
Cessna 172,2000,1,Piston,4,1285,40.44,4847.21,25,Europe,259327.1
Airbus A320,2011,2,Turbofan,180,6300,11.13,4778.48,14,South America,111751733.42
Airbus A350,2011,2,Turbofan,350,14800,10.37,4018.21,14,North America,548033850.8
Airbus A350,2012,2,Turbofan,350,14800,7.95,2447.28,13,Africa,615732654.04
Boeing 777,2011,2,Turbofan,396,15600,13.05,4199.81,14,South America,641924213.34
Bombardier CRJ200,2023,2,Turbofan,50,3000,13.44,2625.27,2,Africa,21399718.02
Boeing 777,2014,2,Turbofan,396,15600,10.81,1470.83,11,Asia,550722388.88
Boeing 737,2007,2,Turbofan,162,5700,10.47,1114.7,18,Europe,93364041.18
Boeing 777,2003,2,Turbofan,396,15600,6.1,3823.69,22,Africa,420350480.17
Boeing 737,2016,2,Turbofan,162,5700,5.74,4505.97,9,South America,103211683.11
Airbus A320,2003,2,Turbofan,180,6300,8.71,1001.8,22,South America,92502229.14
Cessna 172,2008,1,Piston,4,1285,26.17,2717.89,17,South America,269432.82
Boeing 777,2019,2,Turbofan,396,15600,9.74,2889.22,6,Australia,730139681.48
Boeing 737,2005,2,Turbofan,162,5700,6.05,3548.94,20,North America,87039379.4
Boeing 777,2015,2,Turbofan,396,15600,14.69,2845.83,10,North America,715905935.7
Cessna 172,2005,1,Piston,4,1285,20.62,1040.93,20,South America,289726.15
Airbus A320,2001,2,Turbofan,180,6300,6.83,2066.43,24,Africa,101358996.0
Cessna 172,2009,1,Piston,4,1285,21.99,506.09,16,Europe,312800.2
Cessna 172,2012,1,Piston,4,1285,10.94,4311.77,13,Europe,335070.65
Boeing 777,2019,2,Turbofan,396,15600,12.18,4543.52,6,North America,715220340.7
Airbus A320,2005,2,Turbofan,180,6300,5.94,2291.02,20,South America,115245499.58
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.97,795.63,26,South America,12428332.67
Boeing 777,2012,2,Turbofan,396,15600,8.16,3863.5,13,South America,518311197.75
Cessna 172,2011,1,Piston,4,1285,48.31,760.3,14,Australia,325504.58
Cessna 172,1999,1,Piston,4,1285,13.02,4832.46,26,Africa,227376.77
Boeing 737,2003,2,Turbofan,162,5700,4.93,2145.56,22,North America,73294486.91
Cessna 172,1999,1,Piston,4,1285,15.88,3102.34,26,Australia,233322.41
Bombardier CRJ200,2020,2,Turbofan,50,3000,10.76,2246.75,5,Asia,25289252.33
Cessna 172,2010,1,Piston,4,1285,23.81,1669.57,15,North America,308876.54
Bombardier CRJ200,2017,2,Turbofan,50,3000,13.57,2614.95,8,South America,22243104.82
Bombardier CRJ200,2019,2,Turbofan,50,3000,5.14,2883.47,6,Africa,26714048.3
Airbus A320,2023,2,Turbofan,180,6300,5.57,843.08,2,Europe,156828268.32
Boeing 737,2016,2,Turbofan,162,5700,7.98,4131.34,9,Australia,85008093.44
Airbus A350,2000,2,Turbofan,350,14800,4.72,2504.94,25,Africa,384841823.74
Airbus A320,2006,2,Turbofan,180,6300,4.56,4822.82,19,Australia,109524100.55
Airbus A320,2006,2,Turbofan,180,6300,14.93,4781.43,19,South America,86905911.49
Cessna 172,2010,1,Piston,4,1285,33.74,2466.48,15,Australia,330895.58
Airbus A320,2013,2,Turbofan,180,6300,4.1,3907.9,12,Europe,125617429.78
Cessna 172,2000,1,Piston,4,1285,38.73,2646.05,25,Australia,247409.35
Airbus A350,2013,2,Turbofan,350,14800,4.12,3499.7,12,Africa,518665302.2
Cessna 172,2001,1,Piston,4,1285,24.28,540.67,24,South America,239328.61
Boeing 777,2023,2,Turbofan,396,15600,4.97,4667.87,2,Australia,695733978.56
Bombardier CRJ200,2021,2,Turbofan,50,3000,13.02,1947.51,4,Australia,24585508.33
Boeing 777,2019,2,Turbofan,396,15600,3.24,3779.88,6,Africa,699600497.71
Airbus A320,1995,2,Turbofan,180,6300,10.61,2664.01,30,North America,77842629.21
Cessna 172,1999,1,Piston,4,1285,21.56,1033.26,26,Europe,238789.08
Boeing 777,1998,2,Turbofan,396,15600,2.58,4969.65,27,Australia,390375674.82
Airbus A320,2011,2,Turbofan,180,6300,6.83,3924.54,14,North America,136017169.31
Airbus A350,2002,2,Turbofan,350,14800,14.36,4632.92,23,South America,405955618.34
Bombardier CRJ200,1997,2,Turbofan,50,3000,6.64,3097.05,28,North America,11248309.49
Boeing 737,2016,2,Turbofan,162,5700,6.66,3038.33,9,Australia,117780462.89
Cessna 172,2004,1,Piston,4,1285,19.62,3454.84,21,Africa,265367.96
Boeing 737,1998,2,Turbofan,162,5700,4.28,662.08,27,Australia,60876683.75
Boeing 737,2002,2,Turbofan,162,5700,9.56,4777.07,23,Africa,78665496.34
Bombardier CRJ200,1996,2,Turbofan,50,3000,9.54,2464.76,29,Australia,14027784.18
Cessna 172,1997,1,Piston,4,1285,47.86,4523.42,28,South America,209659.87
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.19,4011.64,28,Europe,13187892.51
